Skill,Level,XP,Rank,As_of
attack,88,4440836,697621,09-17-2024
defence,90,5375503,574725,09-17-2024
strength,99,13168352,471591,09-17-2024
hitpoints,99,20067531,325180,09-17-2024
ranged,99,18896751,264868,09-17-2024
prayer,89,5226298,257674,09-17-2024
magic,99,15968202,196401,09-17-2024
cooking,80,2079744,819513,09-17-2024
woodcutting,75,1231894,918894,09-17-2024
fletching,80,1986668,724684,09-17-2024
fishing,75,1261318,864867,09-17-2024
firemaking,75,1269456,1048234,09-17-2024
crafting,80,2035597,550360,09-17-2024
smithing,90,5351487,189331,09-17-2024
mining,74,1123289,831101,09-17-2024
herblore,99,14998623,11998,09-17-2024
agility,76,1391182,550798,09-17-2024
thieving,82,2520066,385013,09-17-2024
slayer,90,5764818,404986,09-17-2024
farming,93,7814060,338294,09-17-2024
runecrafting,72,981007,435198,09-17-2024
hunter,79,1814813,465661,09-17-2024
construction,84,3054771,285646,09-17-2024
