Skill,Level,XP,Rank,As_of
attack,87,4069318,718299,09-12-2024
defence,90,5359929,578750,09-12-2024
strength,99,13116777,492185,09-12-2024
hitpoints,99,19800339,330328,09-12-2024
ranged,99,18758238,266552,09-12-2024
prayer,85,3360384,320897,09-12-2024
magic,99,15810624,200708,09-12-2024
cooking,80,2055684,823491,09-12-2024
woodcutting,75,1229269,918728,09-12-2024
fletching,75,1301283,859760,09-12-2024
fishing,75,1241432,870149,09-12-2024
firemaking,75,1269456,1045704,09-12-2024
crafting,80,1996483,565392,09-12-2024
smithing,90,5351487,188669,09-12-2024
mining,73,1085549,849410,09-12-2024
herblore,99,14937557,12160,09-12-2024
agility,76,1391172,548677,09-12-2024
thieving,82,2520066,383599,09-12-2024
slayer,90,5622703,411214,09-12-2024
farming,93,7732226,338945,09-12-2024
runecrafting,72,976687,434458,09-12-2024
hunter,76,1430497,528597,09-12-2024
construction,84,3053999,284718,09-12-2024
