Skill,Level,XP,Rank,As_of
attack,88,4440836,697061,09-16-2024
defence,90,5375503,574251,09-16-2024
strength,99,13168352,471140,09-16-2024
hitpoints,99,20067531,324878,09-16-2024
ranged,99,18896751,264603,09-16-2024
prayer,85,3541393,308661,09-16-2024
magic,99,15967440,196204,09-16-2024
cooking,80,2078144,819330,09-16-2024
woodcutting,75,1231894,918304,09-16-2024
fletching,80,1986668,724245,09-16-2024
fishing,75,1261318,864317,09-16-2024
firemaking,75,1269456,1047601,09-16-2024
crafting,80,2035507,549906,09-16-2024
smithing,90,5351487,189147,09-16-2024
mining,74,1123289,830212,09-16-2024
herblore,99,14998623,11975,09-16-2024
agility,76,1391182,550187,09-16-2024
thieving,82,2520066,384538,09-16-2024
slayer,90,5764818,404661,09-16-2024
farming,93,7814060,338011,09-16-2024
runecrafting,72,981007,434815,09-16-2024
hunter,78,1753015,472604,09-16-2024
construction,84,3054771,285339,09-16-2024
