Skill,Level,XP,Rank,As_of
attack,99,13103851,343228,12-15-2024
defence,91,6256926,510769,12-15-2024
strength,99,13468370,418877,12-15-2024
hitpoints,99,23946465,256079,12-15-2024
ranged,99,20625829,244641,12-15-2024
prayer,99,13059763,118374,12-15-2024
magic,99,16583769,188514,12-15-2024
cooking,85,3260734,704555,12-15-2024
woodcutting,75,1309348,902797,12-15-2024
fletching,80,2072767,702851,12-15-2024
fishing,75,1309324,874250,12-15-2024
firemaking,81,2327283,818735,12-15-2024
crafting,87,3979147,365652,12-15-2024
smithing,90,5354843,197987,12-15-2024
mining,79,1840066,626401,12-15-2024
herblore,99,16741352,8784,12-15-2024
agility,77,1480627,542199,12-15-2024
thieving,82,2601684,396590,12-15-2024
slayer,95,9011473,279116,12-15-2024
farming,94,8295363,341850,12-15-2024
runecrafting,72,990392,454333,12-15-2024
hunter,79,1933720,472985,12-15-2024
construction,84,3075539,295332,12-15-2024
