Skill,Level,XP,Rank,As_of
attack,86,3780226,738507,09-11-2024
defence,90,5348136,585831,09-11-2024
strength,99,13101936,499623,09-11-2024
hitpoints,99,19667072,333375,09-11-2024
ranged,99,18721008,267138,09-11-2024
prayer,85,3281540,334717,09-11-2024
magic,99,15747657,202591,09-11-2024
cooking,80,2055684,822977,09-11-2024
woodcutting,75,1229269,918164,09-11-2024
fletching,75,1285083,863791,09-11-2024
fishing,75,1241432,869753,09-11-2024
firemaking,75,1269456,1044997,09-11-2024
crafting,80,1992116,567873,09-11-2024
smithing,90,5347487,190343,09-11-2024
mining,73,1045124,872397,09-11-2024
herblore,99,14936746,12154,09-11-2024
agility,76,1391162,548218,09-11-2024
thieving,82,2520066,383279,09-11-2024
slayer,90,5557063,414561,09-11-2024
farming,93,7468335,345100,09-11-2024
runecrafting,72,976687,434173,09-11-2024
hunter,76,1426497,529022,09-11-2024
construction,84,3053999,284456,09-11-2024
