Skill,Level,XP,Rank,As_of
attack,86,3780226,738292,09-10-2024
defence,90,5348136,585658,09-10-2024
strength,99,13101936,499443,09-10-2024
hitpoints,99,19667072,333251,09-10-2024
ranged,99,18721008,267042,09-10-2024
prayer,85,3281540,334614,09-10-2024
magic,99,15747657,202482,09-10-2024
cooking,80,2055684,822768,09-10-2024
woodcutting,75,1229269,917903,09-10-2024
fletching,75,1285083,863620,09-10-2024
fishing,75,1241432,869551,09-10-2024
firemaking,75,1269456,1044746,09-10-2024
crafting,80,1992116,567672,09-10-2024
smithing,89,5119494,196311,09-10-2024
mining,73,1045124,872087,09-10-2024
herblore,99,14936746,12147,09-10-2024
agility,76,1391162,548035,09-10-2024
thieving,82,2520066,383108,09-10-2024
slayer,90,5557063,414404,09-10-2024
farming,93,7468335,344954,09-10-2024
runecrafting,72,976687,434007,09-10-2024
hunter,76,1426497,528821,09-10-2024
construction,84,3053999,284318,09-10-2024
